leg,stimuli,EO,response
VF25,1,EO4899,126.2166405
VF25,2.5,EO4899,113.9717425
VF25,5,EO4899,97.95918367
VF25,acet_after,EO4899,104.5525903
VF27,acet_before,EO4899,128
VF27,0.1,EO4899,110.6666667
VF27,0.25,EO4899,101.3333333
VF27,0.5,EO4899,120
VF27,1,EO4899,93.33333333
VF27,2.5,EO4899,88
VF27,5,EO4899,132
VF27,acet_after,EO4899,86.66666667
VF28,acet_before,EO4899,87.83269962
VF28,0.1,EO4899,88.0608365
VF28,0.25,EO4899,138.4790875
VF28,0.5,EO4899,135.0570342
VF28,1,EO4899,143.269962
VF28,2.5,EO4899,122.9657795
VF28,5,EO4899,76.6539924
VF28,acet_after,EO4899,63.878327
VF29,acet_before,EO4899,74.11764706
VF29,0.1,EO4899,69.01960784
VF29,0.25,EO4899,49.41176471
VF29,0.5,EO4899,125.4901961
VF29,1,EO4899,120.3921569
VF29,2.5,EO4899,146.6666667
VF29,5,EO4899,107.0588235
VF29,acet_after,EO4899,153.3333333
VF30,acet_before,EO5068,103.0553262
VF30,0.1,EO5068,89.51279934
VF30,0.25,EO5068,91.49463254
VF30,0.5,EO5068,96.77952106
VF30,1,EO5068,100.4128819
VF30,2.5,EO5068,68.37324525
VF30,5,EO5068,115.6069364
VF30,acet_after,EO5068,81.91577209
VF31,acet_before,EO5068,114.7435897
VF31,0.1,EO5068,85.04273504
VF31,0.25,EO5068,83.54700855
VF31,0.5,EO5068,95.51282051
VF31,1,EO5068,88.88888889
VF31,2.5,EO5068,83.97435897
VF31,5,EO5068,86.53846154
VF31,acet_after,EO5068,83.54700855
VF32,acet_before,EO5068,101.3774105
VF32,0.1,EO5068,63.91184573
VF32,0.25,EO5068,71.62534435
VF32,0.5,EO5068,93.66391185
VF32,1,EO5068,92.56198347
VF32,2.5,EO5068,85.95041322
VF32,5,EO5068,103.5812672
VF32,acet_after,EO5068,67.21763085
VF33,acet_before,EO5068,133.0243337
VF33,0.1,EO5068,138.5863268
VF33,0.25,EO5068,56.0834299
VF33,0.5,EO5068,60.25492468
VF33,1,EO5068,82.50289687
VF33,2.5,EO5068,77.40440324
VF33,5,EO5068,62.10892236
VF33,acet_after,EO5068,21.32097335
VF34,acet_before,EO5068,130.3278689
VF34,0.1,EO5068,180.3278689
VF34,0.25,EO5068,109.8360656
VF34,0.5,EO5068,118.0327869
VF34,1,EO5068,154.0983607
VF34,2.5,EO5068,142.0081967
VF34,5,EO5068,150.4098361
VF34,acet_after,EO5068,118.647541
VF35,acet_before,EO5068,106.3394683
VF35,0.1,EO5068,89.16155419
VF35,0.25,EO5068,93.6605317
VF35,0.5,EO5068,98.1595092
VF35,1,EO5068,81.799591
VF35,2.5,EO5068,85.07157464
VF35,5,EO5068,96.52351738
VF35,acet_after,EO5068,65.03067485
VF36,acet_before,EO5068,82.65107212
VF36,0.1,EO5068,107.6023392
VF36,0.25,EO5068,83.43079922
VF36,0.5,EO5068,89.66861598
VF36,1,EO5068,67.05653021
VF36,2.5,EO5068,104.4834308
VF36,5,EO5068,108.3820663
VF36,acet_after,EO5068,83.43079922
VF38,acet_before,EO5068,77.87778304
VF38,0.1,EO5068,87.63619138
VF38,0.25,EO5068,78.16200853
VF38,0.5,EO5068,86.78351492
VF38,1,EO5068,98.72098532
VF38,2.5,EO5068,99.28943629
VF38,5,EO5068,109.3320701
VF38,acet_after,EO5068,113.0270014
VF40,acet_before,EO5068,88.88888889
VF40,0.1,EO5068,96.50793651
VF40,0.25,EO5068,80
VF40,0.5,EO5068,86.34920635
VF40,1,EO5068,86.34920635
VF40,2.5,EO5068,88.88888889
VF40,5,EO5068,80
VF40,acet_after,EO5068,96.50793651
VF41,acet_before,EO5663,106.7548418
VF41,0.1,EO5663,104.6764289
VF41,0.25,EO5663,99.95276334
VF41,0.5,EO5663,111.4785073
VF41,1,EO5663,124.5158243
VF41,2.5,EO5663,56.8729334
VF41,5,EO5663,56.49504015
VF41,acet_after,EO5663,62.7302787
VF42,acet_before,EO5663,78.18181818
VF42,0.1,EO5663,101.8181818
VF42,0.25,EO5663,172
VF42,0.5,EO5663,107.6363636
VF42,1,EO5663,51.27272727
VF42,2.5,EO5663,90.54545455
VF42,5,EO5663,43.63636364
VF42,acet_after,EO5663,97.81818182
VF43,acet_before,EO5663,69.56521739
VF43,0.1,EO5663,108.4057971
VF43,0.25,EO5663,110.1449275
VF43,0.5,EO5663,103.1884058
VF43,1,EO5663,105.5072464
VF43,2.5,EO5663,112.4637681
VF43,5,EO5663,92.75362319
VF43,acet_after,EO5663,99.13043478
VF44,acet_before,EO5663,106.4411191
VF44,0.1,EO5663,150.683149
VF44,0.25,EO5663,163.4352635
VF44,0.5,EO5663,121.5354587
VF44,1,EO5663,162.914769
VF44,2.5,EO5663,144.6974626
VF44,5,EO5663,136.3695511
VF44,acet_after,EO5663,148.0806766
VF45,acet_before,EO5663,94.29657795
VF45,0.1,EO5663,83.65019011
VF45,0.25,EO5663,89.7338403
VF45,0.5,EO5663,79.08745247
VF45,1,EO5663,92.7756654
VF45,2.5,EO5663,86.69201521
VF45,5,EO5663,83.65019011
VF45,acet_after,EO5663,112.5475285
VF47,acet_before,EO5663,86.34920635
VF47,0.1,EO5663,107.9365079
VF47,0.25,EO5663,105.3968254
VF47,0.5,EO5663,104.4444444
VF47,1,EO5663,121.9047619
VF47,2.5,EO5663,141.9047619
VF47,5,EO5663,161.2698413
VF47,acet_after,EO5663,160.952381
VF48,acet_before,EO5663,94.35514019
VF48,0.1,EO5663,104.3738318
VF48,0.25,EO5663,113.5700935
VF48,0.5,EO5663,105.046729
VF48,1,EO5663,114.5420561
VF48,2.5,EO5663,123.8878505
VF48,5,EO5663,150.6542056
VF48,acet_after,EO5663,184.2242991
VF51,acet_before,EO5749,168.2758621
VF51,0.1,EO5749,95.17241379
VF51,0.25,EO5749,120
VF51,0.5,EO5749,63.44827586
VF51,1,EO5749,97.93103448
VF51,2.5,EO5749,68.96551724
VF51,5,EO5749,59.31034483
VF51,acet_after,EO5749,63.44827586
VF52,acet_before,EO5749,125.2336449
VF52,0.1,EO5749,118.6915888
VF52,0.25,EO5749,92.52336449
VF52,0.5,EO5749,125.2336449
VF52,1,EO5749,117.7570093
VF52,2.5,EO5749,92.52336449
VF52,5,EO5749,85.98130841
VF52,acet_after,EO5749,113.0841121
VF53,acet_before,EO5749,111.9634703
VF53,0.1,EO5749,108.2191781
VF53,0.25,EO5749,108.1278539
VF53,0.5,EO5749,106.1187215
VF53,1,EO5749,103.1050228
VF53,2.5,EO5749,89.5890411
VF53,5,EO5749,66.84931507
VF53,acet_after,EO5749,76.16438356
VF54,acet_before,EO5749,108.1570997
VF54,0.1,EO5749,112.3867069
VF54,0.25,EO5749,119.0332326
VF54,0.5,EO5749,129.9093656
VF54,1,EO5749,130.5135952
VF54,2.5,EO5749,146.223565
VF54,5,EO5749,145.6193353
VF54,acet_after,EO5749,137.1601208
VF55,acet_before,EO5749,162.0596206
VF55,0.1,EO5749,160.9756098
VF55,0.25,EO5749,157.1815718
VF55,0.5,EO5749,143.6314363
VF55,1,EO5749,121.4092141
VF55,2.5,EO5749,152.8455285
VF55,5,EO5749,150.6775068
VF55,acet_after,EO5749,153.3875339
VF56,acet_before,EO5749,95.16288253
VF56,0.1,EO5749,81.73741362
VF56,0.25,EO5749,47.3840079
VF56,0.5,EO5749,46.1994077
VF56,1,EO5749,35.14313919
VF56,2.5,EO5749,39.48667325
VF56,5,EO5749,43.43534057
VF56,acet_after,EO5749,42.25074038
VF57,acet_before,EO5749,143.4511435
VF57,0.1,EO5749,143.8669439
VF57,0.25,EO5749,131.8087318
VF57,0.5,EO5749,143.035343
VF57,1,EO5749,144.2827443
VF57,2.5,EO5749,162.1621622
VF57,5,EO5749,93.55509356
VF57,acet_after,EO5749,84.82328482
VF58,acet_before,EO5749,97.06840391
VF58,0.1,EO5749,96.41693811
VF58,0.25,EO5749,96.41693811
VF58,0.5,EO5749,62.54071661
VF58,1,EO5749,57.98045603
VF58,2.5,EO5749,58.63192182
VF58,5,EO5749,63.19218241
VF58,acet_after,EO5749,60.58631922
VF59,acet_before,EO5763,95.11961722
VF59,0.1,EO5763,94.54545455
VF59,0.25,EO5763,102.9665072
VF59,0.5,EO5763,100.4784689
VF59,1,EO5763,99.90430622
VF59,2.5,EO5763,115.7894737
VF59,5,EO5763,116.7464115
VF59,acet_after,EO5763,83.8277512
VF60,acet_before,EO5763,101.183432
VF60,0.1,EO5763,102.0710059
VF60,0.25,EO5763,97.33727811
VF60,0.5,EO5763,94.67455621
VF60,1,EO5763,95.26627219
VF60,2.5,EO5763,93.19526627
VF60,5,EO5763,94.37869822
VF60,acet_after,EO5763,88.16568047
VF61,acet_before,EO5763,91.96934355
VF61,0.1,EO5763,122.2259247
VF61,0.25,EO5763,102.6324558
VF61,0.5,EO5763,105.6981006
VF61,1,EO5763,76.37454182
VF61,2.5,EO5763,99.83338887
VF61,5,EO5763,91.96934355
VF61,acet_after,EO5763,104.3652116
VF63,acet_before,EO5763,113.0124777
VF63,0.1,EO5763,91.62210339
VF63,0.25,EO5763,104.8128342
VF63,0.5,EO5763,86.98752228
VF63,1,EO5763,111.942959
VF63,2.5,EO5763,83.77896613
VF63,5,EO5763,72.01426025
VF63,acet_after,EO5763,92.6916221
VF64,acet_before,EO5763,110.2112676
VF64,0.1,EO5763,118.3098592
VF64,0.25,EO5763,114.084507
VF64,0.5,EO5763,117.9577465
VF64,1,EO5763,116.5492958
VF64,2.5,EO5763,115.8450704
VF64,5,EO5763,114.7887324
VF64,acet_after,EO5763,98.94366197
VF65,acet_before,EO5763,121.575898
VF65,0.1,EO5763,123.5225956
VF65,0.25,EO5763,120.3707995
VF65,0.5,EO5763,118.5631518
VF65,1,EO5763,132.4217845
VF65,2.5,EO5763,138.9107764
VF65,5,EO5763,117.4044032
VF65,acet_after,EO5763,112.3059096
VF66,acet_before,EO4309,92.91113381
VF66,0.1,EO4309,103.2890705
VF66,0.25,EO4309,108.845761
VF66,0.5,EO4309,113.340143
VF66,1,EO4309,114.3207354
VF66,2.5,EO4309,115.7916241
VF66,5,EO4309,114.4841675
VF66,acet_after,EO4309,106.1491318
VF67,acet_before,EO4309,86.59534298
VF67,0.1,EO4309,83.32284456
VF67,0.25,EO4309,104.9716803
VF67,0.5,EO4309,102.9578351
VF67,1,EO4309,102.4543738
VF67,2.5,EO4309,97.6714915
VF67,5,EO4309,121.0824418
VF67,acet_after,EO4309,113.782253
VF68,acet_before,EO4309,79.11547912
VF68,0.1,EO4309,76.003276
VF68,0.25,EO4309,90.09009009
VF68,0.5,EO4309,86.81408681
VF68,1,EO4309,68.87796888
VF68,2.5,EO4309,76.16707617
VF68,5,EO4309,77.23177723
VF68,acet_after,EO4309,78.05077805
VF69,acet_before,EO4309,75.98784195
VF69,0.1,EO4309,74.33782023
VF69,0.25,EO4309,81.11159357
VF69,0.5,EO4309,74.42466348
VF69,1,EO4309,83.28267477
VF69,2.5,EO4309,90.5775076
VF69,5,EO4309,92.48805905
VF69,acet_after,EO4309,80.15631785
VF70,acet_before,EO4309,87.53738784
VF70,0.1,EO4309,100.8973081
VF70,0.25,EO4309,103.6889332
VF70,0.5,EO4309,123.2303091
VF70,1,EO4309,117.8464606
VF70,2.5,EO4309,132.2033898
VF70,5,EO4309,116.4506481
VF70,acet_after,EO4309,102.6919242
VF72,acet_before,EO4309,127.2904483
VF72,0.1,EO4309,102.9239766
VF72,0.25,EO4309,140.3508772
VF72,0.5,EO4309,149.3177388
VF72,1,EO4309,149.5126706
VF72,2.5,EO4309,144.6393762
VF72,5,EO4309,135.0877193
VF72,acet_after,EO4309,119.6881092
VF73,acet_before,EO4309,84.10026188
VF73,0.1,EO4309,84.39955107
VF73,0.25,EO4309,68.08829031
VF73,0.5,EO4309,69.73438085
VF73,1,EO4309,102.3569024
VF73,2.5,EO4309,67.78900112
VF73,5,EO4309,63.2996633
VF73,acet_after,EO4309,66.29255518
VF74,acet_before,EO4891,162.9139073
VF74,0.1,EO4891,100.6622517
VF74,0.25,EO4891,110.816777
VF74,0.5,EO4891,87.63796909
VF74,1,EO4891,116.1147903
VF74,2.5,EO4891,89.84547461
VF74,5,EO4891,67.99116998
VF74,acet_after,EO4891,100.4415011
VF75,acet_before,EO4891,192.9515419
VF75,0.1,EO4891,123.8986784
VF75,0.25,EO4891,57.15859031
VF75,0.5,EO4891,84.25110132
VF75,1,EO4891,101.1013216
VF75,2.5,EO4891,94.82378855
VF75,5,EO4891,111.3436123
VF75,acet_after,EO4891,191.2995595
VF76,acet_before,EO4891,87.64044944
VF76,0.1,EO4891,102.8089888
VF76,0.25,EO4891,116.2921348
VF76,0.5,EO4891,75.84269663
VF76,1,EO4891,129.7752809
VF76,2.5,EO4891,23.59550562
VF76,5,EO4891,114.6067416
VF76,acet_after,EO4891,89.3258427
VF78,acet_before,EO4891,26.05932203
VF78,0.1,EO4891,44.17372881
VF78,0.25,EO4891,40.99576271
VF78,0.5,EO4891,38.45338983
VF78,1,EO4891,45.44491525
VF78,2.5,EO4891,43.8559322
VF78,5,EO4891,44.49152542
VF78,acet_after,EO4891,88.34745763
VF79,acet_before,EO4891,194.3970767
VF79,0.1,EO4891,181.6077954
VF79,0.25,EO4891,95.37149817
VF79,0.5,EO4891,165.1644336
VF79,1,EO4891,131.181486
VF79,2.5,EO4891,145.4323995
VF79,5,EO4891,90.98660171
VF79,acet_after,EO4891,103.410475
VF80,acet_before,EO4891,93.55509356
VF80,0.1,EO4891,112.8898129
VF80,0.25,EO4891,136.5904366
VF80,0.5,EO4891,106.029106
VF80,1,EO4891,148.4407484
VF80,2.5,EO4891,94.17879418
VF80,5,EO4891,144.0748441
VF80,acet_after,EO4891,144.6985447
VF81,acet_before,EO4891,147.5083056
VF81,0.1,EO4891,104.3189369
